nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-0.026791357,-0.836061,-0.6034152,-0.026791357,-0.836061,-0.6034152,0.013557063,-0.8614586,-0.518883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.02583922,-0.8364567,-0.6015524,-0.02583922,-0.8364567,-0.6015524,0.020815346,-0.8558459,-0.51027465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.025100607,-0.8371342,-0.59990835,-0.025100607,-0.8371342,-0.59990835,0.011091471,-0.8703296,-0.5193474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.02012226,-0.8396537,-0.5952825,-0.02012226,-0.8396537,-0.5952825,0.01432387,-0.8558401,-0.5155388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.019164765,-0.84013116,-0.5932842,-0.019164765,-0.84013116,-0.5932842,0.027752507,-0.8635316,-0.49536616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.013571312,-0.84190655,-0.5878224,-0.013571312,-0.84190655,-0.5878224,0.019944197,-0.864326,-0.5046413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.012688018,-0.8424605,-0.58585745,-0.012688018,-0.8424605,-0.58585745,0.030593462,-0.86960304,-0.48957852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.007883496,-0.8419323,-0.58155644,-0.007883496,-0.8419323,-0.58155644,0.01863695,-0.859383,-0.50380284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.007253607,-0.8422675,-0.57988346,-0.007253607,-0.8422675,-0.57988346,0.02361098,-0.858693,-0.49790782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.0038155902,-0.84543973,-0.57732385,-0.0038155902,-0.84543973,-0.57732385,0.010579918,-0.8804185,-0.5091175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
